Retailer Code,Sub Ret Cat Name,Zone Name,Region Name,Territory Name
ATHU0001,NORMAL,ZONE 02,COLOMBO 02 MAIN,ATHURUGIRIYA
ATHU0003,NORMAL,ZONE 02,COLOMBO 02 MAIN,ATHURUGIRIYA
ATHU0005,NORMAL,ZONE 02,COLOMBO 02 MAIN,ATHURUGIRIYA
ATHU0006,NORMAL,ZONE 02,COLOMBO 02 MAIN,ATHURUGIRIYA
ATHU0007,NORMAL,ZONE 02,COLOMBO 02 MAIN,ATHURUGIRIYA
ATHU0008,NORMAL,ZONE 02,COLOMBO 02 MAIN,ATHURUGIRIYA
ATHU0009,NORMAL,ZONE 02,COLOMBO 02 MAIN,ATHURUGIRIYA
ATHU0010,NORMAL,ZONE 02,COLOMBO 02 MAIN,ATHURUGIRIYA
ATHU0011,NORMAL,ZONE 02,COLOMBO 02 MAIN,ATHURUGIRIYA
ATHU0012,NORMAL,ZONE 02,COLOMBO 02 MAIN,ATHURUGIRIYA
ATHU0013,NORMAL,ZONE 02,COLOMBO 02 MAIN,ATHURUGIRIYA
ATHU0014,NORMAL,ZONE 02,COLOMBO 02 MAIN,ATHURUGIRIYA
ATHU0015,NORMAL,ZONE 02,COLOMBO 02 MAIN,ATHURUGIRIYA
ATHU0017,NORMAL,ZONE 02,COLOMBO 02 MAIN,ATHURUGIRIYA
ATHU0018,NORMAL,ZONE 02,COLOMBO 02 MAIN,ATHURUGIRIYA
ATHU0020,NORMAL,ZONE 02,COLOMBO 02 MAIN,ATHURUGIRIYA
ATHU0021,NORMAL,ZONE 02,COLOMBO 02 MAIN,ATHURUGIRIYA
ATHU0022,NORMAL,ZONE 02,COLOMBO 02 MAIN,ATHURUGIRIYA
ATHU0024,NORMAL,ZONE 02,COLOMBO 02 MAIN,ATHURUGIRIYA
ATHU0025,NORMAL,ZONE 02,COLOMBO 02 MAIN,ATHURUGIRIYA
ATHU0026,NORMAL,ZONE 02,COLOMBO 02 MAIN,ATHURUGIRIYA
ATHU0027,NORMAL,ZONE 02,COLOMBO 02 MAIN,ATHURUGIRIYA
ATHU0028,NORMAL,ZONE 02,COLOMBO 02 MAIN,ATHURUGIRIYA
ATHU0030,NORMAL,ZONE 02,COLOMBO 02 MAIN,ATHURUGIRIYA
ATHU0031,NORMAL,ZONE 02,COLOMBO 02 MAIN,ATHURUGIRIYA
ATHU0032,NORMAL,ZONE 02,COLOMBO 02 MAIN,ATHURUGIRIYA
ATHU0033,NORMAL,ZONE 02,COLOMBO 02 MAIN,ATHURUGIRIYA
ATHU0034,NORMAL,ZONE 02,COLOMBO 02 MAIN,ATHURUGIRIYA
ATHU0035,NORMAL,ZONE 02,COLOMBO 02 MAIN,ATHURUGIRIYA
ATHU0038,NORMAL,ZONE 02,COLOMBO 02 MAIN,ATHURUGIRIYA
ATHU0039,NORMAL,ZONE 02,COLOMBO 02 MAIN,ATHURUGIRIYA
ATHU0040,NORMAL,ZONE 02,COLOMBO 02 MAIN,ATHURUGIRIYA
ATHU0041,NORMAL,ZONE 02,COLOMBO 02 MAIN,ATHURUGIRIYA
ATHU0043,NORMAL,ZONE 02,COLOMBO 02 MAIN,ATHURUGIRIYA
ATHU0045,NORMAL,ZONE 02,COLOMBO 02 MAIN,ATHURUGIRIYA
ATHU0046,NORMAL,ZONE 02,COLOMBO 02 MAIN,ATHURUGIRIYA
ATHU0047,NORMAL,ZONE 02,COLOMBO 02 MAIN,ATHURUGIRIYA
ATHU0049,NORMAL,ZONE 02,COLOMBO 02 MAIN,ATHURUGIRIYA
ATHU0052,NORMAL,ZONE 02,COLOMBO 02 MAIN,ATHURUGIRIYA
ATHU0053,NORMAL,ZONE 02,COLOMBO 02 MAIN,ATHURUGIRIYA
ATHU0054,NORMAL,ZONE 02,COLOMBO 02 MAIN,ATHURUGIRIYA
ATHU0055,NORMAL,ZONE 02,COLOMBO 02 MAIN,ATHURUGIRIYA
ATHU0056,NORMAL,ZONE 02,COLOMBO 02 MAIN,ATHURUGIRIYA
ATHU0059,NORMAL,ZONE 02,COLOMBO 02 MAIN,ATHURUGIRIYA
ATHU0060,NORMAL,ZONE 02,COLOMBO 02 MAIN,ATHURUGIRIYA
ATHU0061,NORMAL,ZONE 02,COLOMBO 02 MAIN,ATHURUGIRIYA
ATHU0062,NORMAL,ZONE 02,COLOMBO 02 MAIN,ATHURUGIRIYA
ATHU0063,NORMAL,ZONE 02,COLOMBO 02 MAIN,ATHURUGIRIYA
ATHU0065,NORMAL,ZONE 02,COLOMBO 02 MAIN,ATHURUGIRIYA
ATHU0067,NORMAL,ZONE 02,COLOMBO 02 MAIN,ATHURUGIRIYA
